gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
575028765																										http://data.rbge.org.uk/herb/E00292806													2009-02-18 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen				http://data.rbge.org.uk/herb/E00292806	E00292806		Elliot, George Francis Scott				not recorded						herbarium specimen of unspecified type						BGBASE:309962													August 1888		228					August 1888										Southern Africa					ZA																										degrees minutes seconds																																													Cycloptychis virgata E. Mey.												Cruciferae	Cycloptychis		virgata						ICBN			
575134944																										http://data.rbge.org.uk/herb/E00199732													2009-06-01 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen				http://data.rbge.org.uk/herb/E00199732	E00199732	1181	Hanekom, W.J.				not recorded						herbarium specimen of unspecified type						BGBASE:207047													1968-09-07		251					1968-09-07										Southern Africa					ZA																										degrees minutes seconds																																													Heliophila arenaria Sond.												Cruciferae	Heliophila		arenaria						ICBN			
575237987																										http://data.rbge.org.uk/herb/E00199819													2004-12-02 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen				http://data.rbge.org.uk/herb/E00199819	E00199819	1088	Elliot, Scott G.F.				not recorded						herbarium specimen of unspecified type						BGBASE:207288																														Southern Africa					ZA																										degrees minutes seconds																																													Heliophila scoparia Burch.												Cruciferae	Heliophila		scoparia						ICBN			
575283254																										http://data.rbge.org.uk/herb/E00199818													2008-10-15 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen				http://data.rbge.org.uk/herb/E00199818	E00199818	167	Dümmer, R.				not recorded						herbarium specimen of unspecified type						BGBASE:207287													July 1907		196					July 1907										Southern Africa					ZA																										degrees minutes seconds																																													Heliophila scoparia Burch.												Cruciferae	Heliophila		scoparia						ICBN			
575314494																										http://data.rbge.org.uk/herb/E00193022													2011-01-31 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen				http://data.rbge.org.uk/herb/E00193022	E00193022	10050	Schlechter, Friedrich Richard Rudolf				not recorded						herbarium specimen of unspecified type						BGBASE:196897													1897-01-19		19					1897-01-19										Southern Africa					ZA					Regio Occidentalis, Roide Bukkeveld, Gydouwberg		1829	1829	6000 FT																	degrees minutes seconds																															unspecified kind of type														Heliophila aspera Schltr.												Cruciferae	Heliophila		aspera						ICBN			
437207077																										http://coldb.mnhn.fr/catalognumber/mnhn/p/p00739552																																	MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p00739552	P00739552		Drège, J.F.						fl fr				hb																		s.n.	1838				1838																		Afrique Australe	za					s. loc																																																																	Heliophila cornuta Sond.																			Sond.					
437331112																										http://coldb.mnhn.fr/catalognumber/mnhn/p/p00739637																																	MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p00739637	P00739637		Bolus, H.						fert				hb																		484	1883-9				1883	9																	Afrique Australe	za					Prope Concordia, Namaqualand minor																																																																	Heliophila pectinata Burch. ex DC.																			Burch. ex DC.					
437539852																										http://coldb.mnhn.fr/catalognumber/mnhn/p/p00739699																																	MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p00739699	P00739699		Ecklon, C.F.						fert				hb																		99	1832				1832																		Afrique australe	za					Herb. cap.																																																																	Heliophila scoparia Burch. & DC.																			Burch. & DC.					
437996133																										http://coldb.mnhn.fr/catalognumber/mnhn/p/p00739682																																	MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p00739682	P00739682		Schlechter, F.R.R.						fert				hb																		8548	1896-8-16				1896	8	16																Afrique Australe	za					Zuurfontein																																																																	Heliophila refracta Sond.																			Sond.					
438660037																										http://coldb.mnhn.fr/catalognumber/mnhn/p/p00739624																																	MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p00739624	P00739624		Wilms, F.						fert				hb																		3015	1883-8-10				1883	8	10																Afrique Australe	za					Wynberg bei Capstadt																																																																	Heliophila longifolia DC.																			DC.					
