species,life_history,Winter,Spring,Summer,Autumn,decimalLatitude,decimalLongitude,src
Heliophila africana,A,0.263792401723436,0.232663887836302,0.0991253809556197,0.320891751926235,-33.625,18.375,GBIF
Heliophila africana,A,0.307255244755245,0.371931989579048,0.356206293706294,0.346907993966818,-32.375,18.875,GBIF
Heliophila africana,A,0.279428904428904,0.223090634855341,0.237479432332374,0.249897161661868,-32.125,18.875,GBIF
Heliophila africana,A,0.279428904428904,0.223090634855341,0.237479432332374,0.249897161661868,-32.125,18.875,GBIF
Heliophila africana,A,0.279428904428904,0.223090634855341,0.237479432332374,0.249897161661868,-32.125,18.875,GBIF
Heliophila africana,A,0.2435168997669,0.49191005073358,0.448996469217057,0.26717400246812,-33.875,25.375,GBIF
Heliophila africana,A,0.338141025641026,0.396270396270396,0.454099821746881,0.535239270533388,-33.375,18.375,GBIF
Heliophila africana,A,0.255754662004662,0.332990538872892,0.479676573426573,0.475044563279857,-33.375,18.625,GBIF
Heliophila africana,A,0.259062776304156,0.3823417961349,0.25553498961987,0.249393709738537,-34.125,18.375,GBIF
Heliophila africana,A,0.24409965034965,0.310228986699575,0.215206362265186,0.273001508295626,-33.625,19.125,GBIF
Heliophila africana,A,0.338141025641026,0.396270396270396,0.454099821746881,0.535239270533388,-33.375,18.375,GBIF
Heliophila africana,A,0.279428904428904,0.223090634855341,0.237479432332374,0.249897161661868,-32.125,18.875,GBIF
Heliophila africana,A,0.119755244755245,0.288838612368024,0.190259495406554,0.129439188262718,-34.125,18.875,GBIF
Heliophila africana,A,0.342657342657343,0.29343205813794,0.474431818181818,0.398464280817222,-33.125,18.375,GBIF
Heliophila africana,A,0.338141025641026,0.396270396270396,0.454099821746881,0.535239270533388,-33.36,18.35,GBIF
Heliophila africana,A,0.119755244755245,0.288838612368024,0.190259495406554,0.129439188262718,-34.125,18.875,GBIF
Heliophila africana,A,0.180006455868525,0.0618605532398636,0.126954708519695,0.227346217001389,-33.125,18.125,GBIF
Heliophila africana,A,0.57133032995102,0.545282303902994,0.506594054339412,0.485455349248453,-33.875,18.375,GBIF
Heliophila africana,A,0.119755244755245,0.288838612368024,0.190259495406554,0.129439188262718,-34.125,18.875,GBIF
Heliophila africana,A,0.279428904428904,0.223090634855341,0.237479432332374,0.249897161661868,-32.125,18.875,GBIF
Heliophila africana,A,0.259062776304156,0.3823417961349,0.25553498961987,0.249393709738537,-34.125,18.375,GBIF
